Month,Competitor_Model,Market_Share,Avg_Price_USD,Customer_Satisfaction
2024-01,Audi A4,12.6,50047,4.6
2024-02,Audi A4,13.08,62063,4.0
2024-03,Audi A4,11.32,74372,3.7
2024-04,Audi A4,10.06,97895,3.7
2024-05,Audi A4,18.27,62501,3.5
2024-06,Audi A4,9.91,74604,5.0
2024-07,Audi A4,9.74,88837,4.9
2024-08,Audi A4,20.83,49962,4.4
2024-09,Audi A4,10.18,64610,3.7
2024-10,Audi A4,5.45,69067,4.2
2024-11,Audi A4,18.33,79532,4.4
2024-12,Audi A4,7.9,99853,4.2
2024-01,Mercedes C-Class,23.23,58970,4.4
2024-02,Mercedes C-Class,9.19,81539,4.1
2024-03,Mercedes C-Class,15.22,91149,4.1
2024-04,Mercedes C-Class,16.68,63593,4.9
2024-05,Mercedes C-Class,14.03,96603,4.3
2024-06,Mercedes C-Class,8.24,69178,4.6
2024-07,Mercedes C-Class,19.53,82911,4.5
2024-08,Mercedes C-Class,6.47,83944,4.4
2024-09,Mercedes C-Class,8.62,88979,4.7
2024-10,Mercedes C-Class,10.64,47871,3.6
2024-11,Mercedes C-Class,20.97,85840,4.3
2024-12,Mercedes C-Class,20.95,54418,4.2
2024-01,Lexus IS,10.52,96257,4.7
2024-02,Lexus IS,9.24,68030,4.1
2024-03,Lexus IS,24.3,73378,4.2
2024-04,Lexus IS,17.96,77795,4.2
2024-05,Lexus IS,21.87,73169,4.4
2024-06,Lexus IS,8.29,81849,4.7
2024-07,Lexus IS,6.59,99854,3.7
2024-08,Lexus IS,8.81,61405,4.5
2024-09,Lexus IS,12.87,54635,3.6
2024-10,Lexus IS,14.95,94680,4.6
2024-11,Lexus IS,23.57,72070,3.6
2024-12,Lexus IS,13.55,59171,4.5
2024-01,Porsche 911,5.33,62736,5.0
2024-02,Porsche 911,5.67,45737,4.4
2024-03,Porsche 911,9.33,69652,3.7
2024-04,Porsche 911,17.45,72764,3.7
2024-05,Porsche 911,14.83,58568,4.8
2024-06,Porsche 911,16.72,98856,3.8
2024-07,Porsche 911,8.05,62207,3.8
2024-08,Porsche 911,24.78,81999,4.0
2024-09,Porsche 911,22.35,51324,4.8
2024-10,Porsche 911,19.04,99801,3.6
2024-11,Porsche 911,10.8,47137,4.9
2024-12,Porsche 911,17.74,54859,3.5
2024-01,Tesla Model 3,11.02,62234,4.7
2024-02,Tesla Model 3,10.48,44628,4.2
2024-03,Tesla Model 3,16.23,74715,4.9
2024-04,Tesla Model 3,8.24,76424,4.6
2024-05,Tesla Model 3,19.45,94034,4.5
2024-06,Tesla Model 3,9.81,74432,4.8
2024-07,Tesla Model 3,16.69,76716,3.8
2024-08,Tesla Model 3,5.83,75840,4.6
2024-09,Tesla Model 3,8.45,71519,3.6
2024-10,Tesla Model 3,15.49,64791,4.6
2024-11,Tesla Model 3,21.2,51857,4.0
2024-12,Tesla Model 3,12.31,40002,4.9
